year,CO2,CH4,N2O
1950,0.00,0.00,0.00
1951,0.00,0.00,0.00
1952,0.00,0.00,0.00
1953,0.00,0.00,0.00
1954,0.00,0.00,0.00
1955,0.00,0.00,0.00
1956,0.00,0.00,0.00
1957,0.00,0.00,0.00
1958,0.00,0.00,0.00
1959,0.00,0.00,0.00
1960,0.00,0.00,0.00
1961,0.00,0.00,0.00
1962,0.00,0.00,0.00
1963,0.00,0.00,0.00
1964,0.00,0.00,0.00
1965,0.00,0.00,0.00
1966,0.00,0.00,0.00
1967,0.00,0.00,0.00
1968,0.00,0.00,0.00
1969,0.00,0.00,0.00
1970,0.00,0.00,0.00
1971,0.00,0.00,0.00
1972,0.00,0.00,0.00
1973,0.00,0.00,0.00
1974,0.00,0.00,0.00
1975,0.00,0.00,0.00
1976,0.00,0.00,0.00
1977,0.00,0.00,0.00
1978,0.00,0.00,0.00
1979,0.00,0.00,0.00
1980,0.00,0.00,0.00
1981,0.00,0.00,0.00
1982,0.00,0.00,0.00
1983,0.00,0.00,0.00
1984,0.00,0.00,0.00
1985,0.00,0.00,0.00
1986,0.00,0.00,0.00
1987,0.00,0.00,0.00
1988,0.00,0.00,0.00
1989,0.00,0.00,0.00
1990,0.00,0.00,0.00
1991,0.00,0.00,0.00
1992,0.00,0.00,0.00
1993,0.00,0.00,0.00
1994,0.00,0.00,0.00
1995,0.00,0.00,0.00
1996,0.00,0.00,0.00
1997,0.00,0.00,0.00
1998,0.00,0.00,0.00
1999,0.00,0.00,0.00
2000,0.00,0.00,0.00
2001,0.00,0.00,0.00
2002,0.00,0.00,0.00
2003,0.00,0.00,0.00
2004,0.00,0.00,0.00
2005,0.00,0.00,0.00
2006,0.00,0.00,0.00
2007,0.00,0.00,0.00
2008,0.00,0.00,0.00
2009,0.00,0.00,0.00
2010,0.00,0.00,0.00
2011,0.00,0.00,0.00
2012,0.00,0.00,0.00
2013,0.00,0.00,0.00
2014,0.00,0.00,0.00
2015,0.00,0.00,0.00
2016,0.00,0.00,0.00
2017,0.00,0.00,0.00
2018,0.00,0.00,0.00
2019,0.00,0.00,0.00
2020,0.00,0.00,0.00
2021,0.00,0.00,0.00
2022,0.00,0.00,0.00
2023,0.00,0.00,0.00
2024,0.00,0.00,0.00
2025,0.00,0.00,0.00
2026,0.00,0.00,0.00
2027,0.16,1.85,0.06
2028,0.31,3.73,0.13
2029,0.47,5.63,0.20
2030,0.63,7.57,0.26
2031,0.80,9.53,0.33
2032,0.97,11.52,0.40
2033,1.14,13.54,0.47
2034,1.31,15.59,0.54
2035,1.48,17.66,0.62
2036,1.66,19.75,0.69
2037,1.83,21.87,0.76
2038,2.01,24.02,0.84
2039,2.20,26.18,0.91
2040,2.38,28.37,0.99
2041,2.57,30.58,1.07
2042,2.75,32.81,1.14
2043,2.94,35.06,1.22
2044,3.13,37.32,1.30
2045,3.32,39.61,1.38
2046,3.52,41.90,1.46
2047,3.71,44.21,1.54
2048,3.90,46.54,1.62
2049,4.10,48.87,1.70
2050,4.30,51.22,1.79
2051,4.31,51.43,1.79
2052,4.33,51.63,1.80
2053,4.35,51.82,1.81
2054,4.36,52.01,1.81
2055,4.38,52.18,1.82
2056,4.39,52.35,1.83
2057,4.40,52.51,1.83
2058,4.42,52.66,1.84
2059,4.43,52.80,1.84
2060,4.44,52.94,1.85
2061,4.45,53.07,1.85
2062,4.46,53.20,1.86
2063,4.47,53.32,1.86
2064,4.48,53.43,1.86
2065,4.49,53.54,1.87
2066,4.50,53.64,1.87
2067,4.51,53.74,1.87
2068,4.52,53.83,1.88
2069,4.52,53.92,1.88
2070,4.53,54.00,1.88
2071,4.54,54.08,1.89
2072,4.54,54.15,1.89
2073,4.55,54.21,1.89
2074,4.55,54.27,1.89
2075,4.56,54.33,1.89
2076,4.56,54.37,1.90
2077,4.56,54.41,1.90
2078,4.57,54.45,1.90
2079,4.57,54.48,1.90
2080,4.57,54.50,1.90
2081,4.57,54.51,1.90
2082,4.57,54.53,1.90
2083,4.57,54.53,1.90
2084,4.57,54.53,1.90
2085,4.57,54.53,1.90
2086,4.57,54.52,1.90
2087,4.57,54.50,1.90
2088,4.57,54.49,1.90
2089,4.57,54.46,1.90
2090,4.57,54.44,1.90
2091,4.56,54.41,1.90
2092,4.56,54.37,1.90
2093,4.56,54.33,1.90
2094,4.55,54.29,1.89
2095,4.55,54.25,1.89
2096,4.55,54.20,1.89
2097,4.54,54.14,1.89
2098,4.54,54.08,1.89
2099,4.53,54.02,1.88
2100,4.53,53.95,1.88
