year,CO2,CH4,N2O
1950,0.00,0.00,0.00
1951,0.00,0.00,0.00
1952,0.00,0.00,0.00
1953,0.00,0.00,0.00
1954,0.00,0.00,0.00
1955,0.00,0.00,0.00
1956,0.00,0.00,0.00
1957,0.00,0.00,0.00
1958,0.00,0.00,0.00
1959,0.00,0.00,0.00
1960,0.00,0.00,0.00
1961,0.00,0.00,0.00
1962,0.00,0.00,0.00
1963,0.00,0.00,0.00
1964,0.00,0.00,0.00
1965,0.00,0.00,0.00
1966,0.00,0.00,0.00
1967,0.00,0.00,0.00
1968,0.00,0.00,0.00
1969,0.00,0.00,0.00
1970,0.00,0.00,0.00
1971,0.00,0.00,0.00
1972,0.00,0.00,0.00
1973,0.00,0.00,0.00
1974,0.00,0.00,0.00
1975,0.00,0.00,0.00
1976,0.00,0.00,0.00
1977,0.00,0.00,0.00
1978,0.00,0.00,0.00
1979,0.00,0.00,0.00
1980,0.00,0.00,0.00
1981,0.00,0.00,0.00
1982,0.00,0.00,0.00
1983,0.00,0.00,0.00
1984,0.00,0.00,0.00
1985,0.00,0.00,0.00
1986,0.00,0.00,0.00
1987,0.00,0.00,0.00
1988,0.00,0.00,0.00
1989,0.00,0.00,0.00
1990,0.00,0.00,0.00
1991,0.00,0.00,0.00
1992,0.00,0.00,0.00
1993,0.00,0.00,0.00
1994,0.00,0.00,0.00
1995,0.00,0.00,0.00
1996,0.00,0.00,0.00
1997,0.00,0.00,0.00
1998,0.00,0.00,0.00
1999,0.00,0.00,0.00
2000,0.00,0.00,0.00
2001,0.00,0.00,0.00
2002,0.00,0.00,0.00
2003,0.00,0.00,0.00
2004,0.00,0.00,0.00
2005,0.00,0.00,0.00
2006,0.00,0.00,0.00
2007,0.00,0.00,0.00
2008,0.00,0.00,0.00
2009,0.00,0.00,0.00
2010,0.00,0.00,0.00
2011,0.00,0.00,0.00
2012,0.00,0.00,0.00
2013,0.00,0.00,0.00
2014,0.00,0.00,0.00
2015,0.00,0.00,0.00
2016,0.00,0.00,0.00
2017,0.00,0.00,0.00
2018,0.00,0.00,0.00
2019,0.00,0.00,0.00
2020,0.00,0.00,0.00
2021,0.00,0.00,0.00
2022,0.00,0.00,0.00
2023,0.00,0.00,0.00
2024,0.00,0.00,0.00
2025,0.00,0.00,0.00
2026,0.00,0.00,0.00
2027,0.18,2.05,0.08
2028,0.36,4.13,0.15
2029,0.55,6.25,0.23
2030,0.74,8.39,0.31
2031,0.93,10.57,0.39
2032,1.12,12.78,0.47
2033,1.32,15.02,0.55
2034,1.52,17.29,0.63
2035,1.72,19.58,0.72
2036,1.92,21.91,0.80
2037,2.13,24.26,0.89
2038,2.34,26.64,0.98
2039,2.55,29.04,1.07
2040,2.76,31.47,1.15
2041,2.98,33.92,1.24
2042,3.19,36.39,1.33
2043,3.41,38.88,1.43
2044,3.63,41.39,1.52
2045,3.85,43.92,1.61
2046,4.08,46.47,1.70
2047,4.30,49.04,1.80
2048,4.53,51.61,1.89
2049,4.76,54.20,1.99
2050,4.98,56.80,2.08
2051,5.00,57.04,2.09
2052,5.02,57.26,2.10
2053,5.04,57.48,2.11
2054,5.06,57.68,2.12
2055,5.08,57.87,2.12
2056,5.09,58.06,2.13
2057,5.11,58.23,2.14
2058,5.12,58.40,2.14
2059,5.14,58.56,2.15
2060,5.15,58.71,2.15
2061,5.16,58.86,2.16
2062,5.18,59.00,2.16
2063,5.19,59.13,2.17
2064,5.20,59.26,2.17
2065,5.21,59.38,2.18
2066,5.22,59.49,2.18
2067,5.23,59.60,2.19
2068,5.24,59.70,2.19
2069,5.25,59.80,2.19
2070,5.25,59.89,2.20
2071,5.26,59.97,2.20
2072,5.27,60.05,2.20
2073,5.28,60.13,2.21
2074,5.28,60.19,2.21
2075,5.29,60.25,2.21
2076,5.29,60.30,2.21
2077,5.29,60.35,2.21
2078,5.30,60.39,2.21
2079,5.30,60.42,2.22
2080,5.30,60.44,2.22
2081,5.30,60.46,2.22
2082,5.31,60.47,2.22
2083,5.31,60.48,2.22
2084,5.31,60.48,2.22
2085,5.31,60.47,2.22
2086,5.30,60.46,2.22
2087,5.30,60.45,2.22
2088,5.30,60.43,2.22
2089,5.30,60.40,2.22
2090,5.30,60.37,2.21
2091,5.29,60.34,2.21
2092,5.29,60.30,2.21
2093,5.29,60.26,2.21
2094,5.28,60.21,2.21
2095,5.28,60.16,2.21
2096,5.27,60.11,2.20
2097,5.27,60.04,2.20
2098,5.26,59.98,2.20
2099,5.26,59.91,2.20
2100,5.25,59.84,2.19
